"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Barbados","BRB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","20","19","19","17","15","13","18","14","19","16.5","11.4","16.4","15.3","13.5","24","41.8","31.7","39.8","48.4","36.1","40.3","45.5","43","34.9","24.7","35.5","45.2","39.1","","","",
"Brunei Darussalam","BRN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","4","2","7","14","4","11","9.5","8.3","9.7","15.2","21.3","32.2","16.9","23.7","33.6","28","30.1","33.7","41.9","44","45.5","47.7","77.6","105.1","120.2","","","",
"Bhutan","BTN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","0","3","1","0","2","2","3","2.3","0","1","1.5","0.5","1.1","1","6.2","3.7","9.4","5.5","15.9","8.1","6.2","12.1","17.2","17.3","17.2","28.6","","","",
"Botswana","BWA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","24","14","9","20","17","18","20","28","19","28","39.1","31.6","34.9","38.7","98.5","94.6","100","113.1","120.2","105.1","178.1","138.5","150.3","135.9","149.5","165.7","154.5","165.3","","","",
"Central African Republic","CAF","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","4","9","9","12","11","5","6","4","3","6.3","3.3","5.6","6.4","4.2","5","5","3.6","9.2","8.9","9.6","13.1","8.5","9.8","10.1","14.3","13.4","10.5","11.8","","","",
"Canada","CAN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","14440","","","","16656","20871","20735","21391","22501","22792","22903","24180","23824","24565","23739.8","23841.8","22780.9","22200.7","22125.4","31093.1","30973.1","33566.4","35740.1","40374","45884.1","47953.8","51048.4","52300.3","54298.2","55420.2","56384.2","58420.3","57796.7","","","",
"Central Europe and the Baltics","CEB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11067.8083946729","12007.8839773332","11535.0714646847","11287.566323087","12047.8399643176","13503.3725245317","12361","12574.7","13142.7","13622","14138.7","14572.3","29901.3","31129.8","33804.6","36163.4","40625.5","46967.7","49950","54736.9","61886.7","65300.2","69896.5","73984.7","77189.1","80287","","","",
"Switzerland","CHE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","4801","","","","4895","5488","5305","5316","5548","5901","6098","6651","6871","7372","7220","7568.4","7863.9","7983.9","8194.5","11834.8","11632","11703.2","12435.7","13753.7","15151.3","16214.1","16702.5","17121.9","17836.8","18545.5","19483.7","20613.6","21060.4","","","",
"Channel Islands","CHI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","561","","","","569","673","624","682","745","830","819","835","877","798","888.6","920.3","954.3","991.8","1058.9","1478.5","1564.8","1944.8","2002.3","2255.7","2520.6","3063.6","3399.8","3825.4","4103.6","4198.5","4617.3","5115.8","5157.6","","","",
